query_37: ticles describing relationship data types concurrency e.g type process synchronization attempt processes type correct message-passing system notion types messages i.e check sender message receiver treating bit stream type
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |    REL     |       0.5       | 0.0833333333333 |
|  3   |  NON-REL   |  0.333333333333 | 0.0833333333333 |
|  4   |  NON-REL   |       0.25      | 0.0833333333333 |
|  5   |  NON-REL   |       0.2       | 0.0833333333333 |
|  6   |  NON-REL   |  0.166666666667 | 0.0833333333333 |
|  7   |  NON-REL   |  0.142857142857 | 0.0833333333333 |
|  8   |  NON-REL   |      0.125      | 0.0833333333333 |
|  9   |  NON-REL   |  0.111111111111 | 0.0833333333333 |
|  10  |  NON-REL   |       0.1       | 0.0833333333333 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0833333333333 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0833333333333 |
|  13  |  NON-REL   | 0.0769230769231 | 0.0833333333333 |
|  14  |  NON-REL   | 0.0714285714286 | 0.0833333333333 |
|  15  |  NON-REL   | 0.0666666666667 | 0.0833333333333 |
|  16  |  NON-REL   |      0.0625     | 0.0833333333333 |
|  17  |  NON-REL   | 0.0588235294118 | 0.0833333333333 |
|  18  |  NON-REL   | 0.0555555555556 | 0.0833333333333 |
|  19  |  NON-REL   | 0.0526315789474 | 0.0833333333333 |
|  20  |  NON-REL   |       0.05      | 0.0833333333333 |
|  21  |  NON-REL   |  0.047619047619 | 0.0833333333333 |
|  22  |  NON-REL   | 0.0454545454545 | 0.0833333333333 |
|  23  |  NON-REL   | 0.0434782608696 | 0.0833333333333 |
|  24  |  NON-REL   | 0.0416666666667 | 0.0833333333333 |
|  25  |    REL     |       0.08      |  0.166666666667 |
|  26  |  NON-REL   | 0.0769230769231 |  0.166666666667 |
|  27  |  NON-REL   | 0.0740740740741 |  0.166666666667 |
|  28  |  NON-REL   | 0.0714285714286 |  0.166666666667 |
|  29  |  NON-REL   | 0.0689655172414 |  0.166666666667 |
|  30  |  NON-REL   | 0.0666666666667 |  0.166666666667 |
|  31  |  NON-REL   | 0.0645161290323 |  0.166666666667 |
|  32  |  NON-REL   |      0.0625     |  0.166666666667 |
|  33  |  NON-REL   | 0.0606060606061 |  0.166666666667 |
|  34  |  NON-REL   | 0.0588235294118 |  0.166666666667 |
|  35  |  NON-REL   | 0.0571428571429 |  0.166666666667 |
|  36  |  NON-REL   | 0.0555555555556 |  0.166666666667 |
|  37  |  NON-REL   | 0.0540540540541 |  0.166666666667 |
|  38  |  NON-REL   | 0.0526315789474 |  0.166666666667 |
|  39  |  NON-REL   | 0.0512820512821 |  0.166666666667 |
|  40  |  NON-REL   |       0.05      |  0.166666666667 |
|  41  |  NON-REL   | 0.0487804878049 |  0.166666666667 |
|  42  |  NON-REL   |  0.047619047619 |  0.166666666667 |
|  43  |    REL     | 0.0697674418605 |       0.25      |
|  44  |  NON-REL   | 0.0681818181818 |       0.25      |
|  45  |  NON-REL   | 0.0666666666667 |       0.25      |
|  46  |  NON-REL   | 0.0652173913043 |       0.25      |
|  47  |  NON-REL   |  0.063829787234 |       0.25      |
|  48  |  NON-REL   |      0.0625     |       0.25      |
|  49  |  NON-REL   | 0.0612244897959 |       0.25      |
|  50  |  NON-REL   |       0.06      |       0.25      |
|  51  |  NON-REL   | 0.0588235294118 |       0.25      |
|  52  |  NON-REL   | 0.0576923076923 |       0.25      |
|  53  |  NON-REL   | 0.0566037735849 |       0.25      |
|  54  |  NON-REL   | 0.0555555555556 |       0.25      |
|  55  |  NON-REL   | 0.0545454545455 |       0.25      |
|  56  |  NON-REL   | 0.0535714285714 |       0.25      |
|  57  |  NON-REL   | 0.0526315789474 |       0.25      |
|  58  |  NON-REL   |  0.051724137931 |       0.25      |
|  59  |  NON-REL   | 0.0508474576271 |       0.25      |
|  60  |  NON-REL   |       0.05      |       0.25      |
|  61  |  NON-REL   | 0.0491803278689 |       0.25      |
|  62  |  NON-REL   | 0.0483870967742 |       0.25      |
|  63  |    REL     | 0.0634920634921 |  0.333333333333 |
|  64  |  NON-REL   |      0.0625     |  0.333333333333 |
|  65  |  NON-REL   | 0.0615384615385 |  0.333333333333 |
|  66  |  NON-REL   | 0.0606060606061 |  0.333333333333 |
|  67  |  NON-REL   | 0.0597014925373 |  0.333333333333 |
|  68  |  NON-REL   | 0.0588235294118 |  0.333333333333 |
|  69  |  NON-REL   | 0.0579710144928 |  0.333333333333 |
|  70  |  NON-REL   | 0.0571428571429 |  0.333333333333 |
|  71  |  NON-REL   |  0.056338028169 |  0.333333333333 |
|  72  |  NON-REL   | 0.0555555555556 |  0.333333333333 |
|  73  |  NON-REL   | 0.0547945205479 |  0.333333333333 |
|  74  |  NON-REL   | 0.0540540540541 |  0.333333333333 |
|  75  |  NON-REL   | 0.0533333333333 |  0.333333333333 |
|  76  |  NON-REL   | 0.0526315789474 |  0.333333333333 |
|  77  |  NON-REL   | 0.0519480519481 |  0.333333333333 |
|  78  |  NON-REL   | 0.0512820512821 |  0.333333333333 |
|  79  |  NON-REL   | 0.0506329113924 |  0.333333333333 |
|  80  |  NON-REL   |       0.05      |  0.333333333333 |
|  81  |  NON-REL   | 0.0493827160494 |  0.333333333333 |
|  82  |  NON-REL   | 0.0487804878049 |  0.333333333333 |
|  83  |  NON-REL   | 0.0481927710843 |  0.333333333333 |
|  84  |  NON-REL   |  0.047619047619 |  0.333333333333 |
|  85  |  NON-REL   | 0.0470588235294 |  0.333333333333 |
|  86  |  NON-REL   |  0.046511627907 |  0.333333333333 |
|  87  |  NON-REL   | 0.0459770114943 |  0.333333333333 |
|  88  |  NON-REL   | 0.0454545454545 |  0.333333333333 |
|  89  |  NON-REL   | 0.0449438202247 |  0.333333333333 |
|  90  |  NON-REL   | 0.0444444444444 |  0.333333333333 |
|  91  |  NON-REL   |  0.043956043956 |  0.333333333333 |
|  92  |  NON-REL   | 0.0434782608696 |  0.333333333333 |
|  93  |  NON-REL   | 0.0430107526882 |  0.333333333333 |
|  94  |  NON-REL   | 0.0425531914894 |  0.333333333333 |
|  95  |  NON-REL   | 0.0421052631579 |  0.333333333333 |
|  96  |  NON-REL   | 0.0416666666667 |  0.333333333333 |
|  97  |  NON-REL   | 0.0412371134021 |  0.333333333333 |
|  98  |  NON-REL   | 0.0408163265306 |  0.333333333333 |
|  99  |  NON-REL   |  0.040404040404 |  0.333333333333 |
| 100  |  NON-REL   |       0.04      |  0.333333333333 |
+------+------------+-----------------+-----------------+
