query_38: pe module don want entire literature abstract data types sure phrase avoid interested questions check module matches contexts
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       | 0.0625 |
|  2   |    REL     |       1.0       | 0.125  |
|  3   |    REL     |       1.0       | 0.1875 |
|  4   |  NON-REL   |       0.75      | 0.1875 |
|  5   |  NON-REL   |       0.6       | 0.1875 |
|  6   |  NON-REL   |       0.5       | 0.1875 |
|  7   |  NON-REL   |  0.428571428571 | 0.1875 |
|  8   |  NON-REL   |      0.375      | 0.1875 |
|  9   |  NON-REL   |  0.333333333333 | 0.1875 |
|  10  |  NON-REL   |       0.3       | 0.1875 |
|  11  |    REL     |  0.363636363636 |  0.25  |
|  12  |  NON-REL   |  0.333333333333 |  0.25  |
|  13  |  NON-REL   |  0.307692307692 |  0.25  |
|  14  |  NON-REL   |  0.285714285714 |  0.25  |
|  15  |  NON-REL   |  0.266666666667 |  0.25  |
|  16  |  NON-REL   |       0.25      |  0.25  |
|  17  |    REL     |  0.294117647059 | 0.3125 |
|  18  |  NON-REL   |  0.277777777778 | 0.3125 |
|  19  |  NON-REL   |  0.263157894737 | 0.3125 |
|  20  |  NON-REL   |       0.25      | 0.3125 |
|  21  |  NON-REL   |  0.238095238095 | 0.3125 |
|  22  |  NON-REL   |  0.227272727273 | 0.3125 |
|  23  |  NON-REL   |  0.217391304348 | 0.3125 |
|  24  |  NON-REL   |  0.208333333333 | 0.3125 |
|  25  |    REL     |       0.24      | 0.375  |
|  26  |  NON-REL   |  0.230769230769 | 0.375  |
|  27  |  NON-REL   |  0.222222222222 | 0.375  |
|  28  |  NON-REL   |  0.214285714286 | 0.375  |
|  29  |    REL     |  0.241379310345 | 0.4375 |
|  30  |  NON-REL   |  0.233333333333 | 0.4375 |
|  31  |  NON-REL   |  0.225806451613 | 0.4375 |
|  32  |  NON-REL   |     0.21875     | 0.4375 |
|  33  |  NON-REL   |  0.212121212121 | 0.4375 |
|  34  |  NON-REL   |  0.205882352941 | 0.4375 |
|  35  |  NON-REL   |       0.2       | 0.4375 |
|  36  |  NON-REL   |  0.194444444444 | 0.4375 |
|  37  |  NON-REL   |  0.189189189189 | 0.4375 |
|  38  |  NON-REL   |  0.184210526316 | 0.4375 |
|  39  |  NON-REL   |  0.179487179487 | 0.4375 |
|  40  |  NON-REL   |      0.175      | 0.4375 |
|  41  |  NON-REL   |  0.170731707317 | 0.4375 |
|  42  |  NON-REL   |  0.166666666667 | 0.4375 |
|  43  |  NON-REL   |  0.162790697674 | 0.4375 |
|  44  |  NON-REL   |  0.159090909091 | 0.4375 |
|  45  |  NON-REL   |  0.155555555556 | 0.4375 |
|  46  |  NON-REL   |  0.152173913043 | 0.4375 |
|  47  |  NON-REL   |  0.148936170213 | 0.4375 |
|  48  |  NON-REL   |  0.145833333333 | 0.4375 |
|  49  |  NON-REL   |  0.142857142857 | 0.4375 |
|  50  |  NON-REL   |       0.14      | 0.4375 |
|  51  |  NON-REL   |  0.137254901961 | 0.4375 |
|  52  |  NON-REL   |  0.134615384615 | 0.4375 |
|  53  |  NON-REL   |  0.132075471698 | 0.4375 |
|  54  |  NON-REL   |  0.12962962963  | 0.4375 |
|  55  |  NON-REL   |  0.127272727273 | 0.4375 |
|  56  |  NON-REL   |      0.125      | 0.4375 |
|  57  |  NON-REL   |  0.122807017544 | 0.4375 |
|  58  |    REL     |  0.137931034483 |  0.5   |
|  59  |  NON-REL   |  0.135593220339 |  0.5   |
|  60  |  NON-REL   |  0.133333333333 |  0.5   |
|  61  |  NON-REL   |  0.131147540984 |  0.5   |
|  62  |  NON-REL   |  0.129032258065 |  0.5   |
|  63  |  NON-REL   |  0.126984126984 |  0.5   |
|  64  |    REL     |     0.140625    | 0.5625 |
|  65  |  NON-REL   |  0.138461538462 | 0.5625 |
|  66  |  NON-REL   |  0.136363636364 | 0.5625 |
|  67  |  NON-REL   |  0.134328358209 | 0.5625 |
|  68  |  NON-REL   |  0.132352941176 | 0.5625 |
|  69  |  NON-REL   |  0.130434782609 | 0.5625 |
|  70  |  NON-REL   |  0.128571428571 | 0.5625 |
|  71  |  NON-REL   |  0.12676056338  | 0.5625 |
|  72  |  NON-REL   |      0.125      | 0.5625 |
|  73  |  NON-REL   |  0.123287671233 | 0.5625 |
|  74  |  NON-REL   |  0.121621621622 | 0.5625 |
|  75  |  NON-REL   |       0.12      | 0.5625 |
|  76  |  NON-REL   |  0.118421052632 | 0.5625 |
|  77  |  NON-REL   |  0.116883116883 | 0.5625 |
|  78  |  NON-REL   |  0.115384615385 | 0.5625 |
|  79  |  NON-REL   |  0.113924050633 | 0.5625 |
|  80  |  NON-REL   |      0.1125     | 0.5625 |
|  81  |  NON-REL   |  0.111111111111 | 0.5625 |
|  82  |  NON-REL   |  0.109756097561 | 0.5625 |
|  83  |  NON-REL   |  0.10843373494  | 0.5625 |
|  84  |  NON-REL   |  0.107142857143 | 0.5625 |
|  85  |  NON-REL   |  0.105882352941 | 0.5625 |
|  86  |  NON-REL   |  0.104651162791 | 0.5625 |
|  87  |  NON-REL   |  0.103448275862 | 0.5625 |
|  88  |  NON-REL   |  0.102272727273 | 0.5625 |
|  89  |  NON-REL   |  0.101123595506 | 0.5625 |
|  90  |  NON-REL   |       0.1       | 0.5625 |
|  91  |  NON-REL   | 0.0989010989011 | 0.5625 |
|  92  |  NON-REL   | 0.0978260869565 | 0.5625 |
|  93  |  NON-REL   | 0.0967741935484 | 0.5625 |
|  94  |  NON-REL   | 0.0957446808511 | 0.5625 |
|  95  |  NON-REL   | 0.0947368421053 | 0.5625 |
|  96  |  NON-REL   |     0.09375     | 0.5625 |
|  97  |  NON-REL   | 0.0927835051546 | 0.5625 |
|  98  |  NON-REL   | 0.0918367346939 | 0.5625 |
|  99  |  NON-REL   | 0.0909090909091 | 0.5625 |
| 100  |  NON-REL   |       0.09      | 0.5625 |
+------+------------+-----------------+--------+
