query_4: terested mechanisms communicating disjoint processes possibly exclusively distributed environment descriptions complete mechanisms implementations opposed theoretical work abstract problem remote procedure calls message-passing examples interests
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |    REL     |       1.0       | 0.0833333333333 |
|  2   |  NON-REL   |       0.5       | 0.0833333333333 |
|  3   |  NON-REL   |  0.333333333333 | 0.0833333333333 |
|  4   |  NON-REL   |       0.25      | 0.0833333333333 |
|  5   |  NON-REL   |       0.2       | 0.0833333333333 |
|  6   |  NON-REL   |  0.166666666667 | 0.0833333333333 |
|  7   |  NON-REL   |  0.142857142857 | 0.0833333333333 |
|  8   |  NON-REL   |      0.125      | 0.0833333333333 |
|  9   |  NON-REL   |  0.111111111111 | 0.0833333333333 |
|  10  |  NON-REL   |       0.1       | 0.0833333333333 |
|  11  |  NON-REL   | 0.0909090909091 | 0.0833333333333 |
|  12  |  NON-REL   | 0.0833333333333 | 0.0833333333333 |
|  13  |  NON-REL   | 0.0769230769231 | 0.0833333333333 |
|  14  |  NON-REL   | 0.0714285714286 | 0.0833333333333 |
|  15  |    REL     |  0.133333333333 |  0.166666666667 |
|  16  |  NON-REL   |      0.125      |  0.166666666667 |
|  17  |  NON-REL   |  0.117647058824 |  0.166666666667 |
|  18  |  NON-REL   |  0.111111111111 |  0.166666666667 |
|  19  |  NON-REL   |  0.105263157895 |  0.166666666667 |
|  20  |  NON-REL   |       0.1       |  0.166666666667 |
|  21  |  NON-REL   | 0.0952380952381 |  0.166666666667 |
|  22  |  NON-REL   | 0.0909090909091 |  0.166666666667 |
|  23  |  NON-REL   | 0.0869565217391 |  0.166666666667 |
|  24  |  NON-REL   | 0.0833333333333 |  0.166666666667 |
|  25  |  NON-REL   |       0.08      |  0.166666666667 |
|  26  |  NON-REL   | 0.0769230769231 |  0.166666666667 |
|  27  |  NON-REL   | 0.0740740740741 |  0.166666666667 |
|  28  |  NON-REL   | 0.0714285714286 |  0.166666666667 |
|  29  |    REL     |  0.103448275862 |       0.25      |
|  30  |  NON-REL   |       0.1       |       0.25      |
|  31  |  NON-REL   | 0.0967741935484 |       0.25      |
|  32  |  NON-REL   |     0.09375     |       0.25      |
|  33  |  NON-REL   | 0.0909090909091 |       0.25      |
|  34  |  NON-REL   | 0.0882352941176 |       0.25      |
|  35  |  NON-REL   | 0.0857142857143 |       0.25      |
|  36  |  NON-REL   | 0.0833333333333 |       0.25      |
|  37  |  NON-REL   | 0.0810810810811 |       0.25      |
|  38  |  NON-REL   | 0.0789473684211 |       0.25      |
|  39  |  NON-REL   | 0.0769230769231 |       0.25      |
|  40  |  NON-REL   |      0.075      |       0.25      |
|  41  |  NON-REL   | 0.0731707317073 |       0.25      |
|  42  |  NON-REL   | 0.0714285714286 |       0.25      |
|  43  |  NON-REL   | 0.0697674418605 |       0.25      |
|  44  |  NON-REL   | 0.0681818181818 |       0.25      |
|  45  |  NON-REL   | 0.0666666666667 |       0.25      |
|  46  |    REL     | 0.0869565217391 |  0.333333333333 |
|  47  |    REL     |  0.106382978723 |  0.416666666667 |
|  48  |  NON-REL   |  0.104166666667 |  0.416666666667 |
|  49  |  NON-REL   |  0.102040816327 |  0.416666666667 |
|  50  |  NON-REL   |       0.1       |  0.416666666667 |
|  51  |  NON-REL   | 0.0980392156863 |  0.416666666667 |
|  52  |  NON-REL   | 0.0961538461538 |  0.416666666667 |
|  53  |  NON-REL   | 0.0943396226415 |  0.416666666667 |
|  54  |  NON-REL   | 0.0925925925926 |  0.416666666667 |
|  55  |  NON-REL   | 0.0909090909091 |  0.416666666667 |
|  56  |  NON-REL   | 0.0892857142857 |  0.416666666667 |
|  57  |  NON-REL   | 0.0877192982456 |  0.416666666667 |
|  58  |  NON-REL   | 0.0862068965517 |  0.416666666667 |
|  59  |  NON-REL   | 0.0847457627119 |  0.416666666667 |
|  60  |  NON-REL   | 0.0833333333333 |  0.416666666667 |
|  61  |  NON-REL   | 0.0819672131148 |  0.416666666667 |
|  62  |  NON-REL   | 0.0806451612903 |  0.416666666667 |
|  63  |  NON-REL   | 0.0793650793651 |  0.416666666667 |
|  64  |  NON-REL   |     0.078125    |  0.416666666667 |
|  65  |  NON-REL   | 0.0769230769231 |  0.416666666667 |
|  66  |  NON-REL   | 0.0757575757576 |  0.416666666667 |
|  67  |  NON-REL   | 0.0746268656716 |  0.416666666667 |
|  68  |  NON-REL   | 0.0735294117647 |  0.416666666667 |
|  69  |  NON-REL   | 0.0724637681159 |  0.416666666667 |
|  70  |  NON-REL   | 0.0714285714286 |  0.416666666667 |
|  71  |  NON-REL   | 0.0704225352113 |  0.416666666667 |
|  72  |  NON-REL   | 0.0694444444444 |  0.416666666667 |
|  73  |  NON-REL   | 0.0684931506849 |  0.416666666667 |
|  74  |  NON-REL   | 0.0675675675676 |  0.416666666667 |
|  75  |  NON-REL   | 0.0666666666667 |  0.416666666667 |
|  76  |  NON-REL   | 0.0657894736842 |  0.416666666667 |
|  77  |  NON-REL   | 0.0649350649351 |  0.416666666667 |
|  78  |  NON-REL   | 0.0641025641026 |  0.416666666667 |
|  79  |  NON-REL   | 0.0632911392405 |  0.416666666667 |
|  80  |  NON-REL   |      0.0625     |  0.416666666667 |
|  81  |  NON-REL   | 0.0617283950617 |  0.416666666667 |
|  82  |  NON-REL   | 0.0609756097561 |  0.416666666667 |
|  83  |  NON-REL   | 0.0602409638554 |  0.416666666667 |
|  84  |  NON-REL   | 0.0595238095238 |  0.416666666667 |
|  85  |  NON-REL   | 0.0588235294118 |  0.416666666667 |
|  86  |    REL     | 0.0697674418605 |       0.5       |
|  87  |  NON-REL   | 0.0689655172414 |       0.5       |
|  88  |  NON-REL   | 0.0681818181818 |       0.5       |
|  89  |  NON-REL   | 0.0674157303371 |       0.5       |
|  90  |  NON-REL   | 0.0666666666667 |       0.5       |
|  91  |  NON-REL   | 0.0659340659341 |       0.5       |
|  92  |  NON-REL   | 0.0652173913043 |       0.5       |
|  93  |  NON-REL   | 0.0645161290323 |       0.5       |
|  94  |  NON-REL   |  0.063829787234 |       0.5       |
|  95  |  NON-REL   | 0.0631578947368 |       0.5       |
|  96  |  NON-REL   |      0.0625     |       0.5       |
|  97  |  NON-REL   | 0.0618556701031 |       0.5       |
|  98  |  NON-REL   | 0.0612244897959 |       0.5       |
|  99  |  NON-REL   | 0.0606060606061 |       0.5       |
| 100  |  NON-REL   |       0.06      |       0.5       |
+------+------------+-----------------+-----------------+
