query_40: st articles dealing data types languages referenced frequently papers languages e.g catch languages interesting type structures missed
+------+------------+-----------------+--------+
| RANK | REL/NONREL |    PRECISION    | RECALL |
+------+------------+-----------------+--------+
|  1   |    REL     |       1.0       |  0.1   |
|  2   |  NON-REL   |       0.5       |  0.1   |
|  3   |  NON-REL   |  0.333333333333 |  0.1   |
|  4   |    REL     |       0.5       |  0.2   |
|  5   |    REL     |       0.6       |  0.3   |
|  6   |  NON-REL   |       0.5       |  0.3   |
|  7   |  NON-REL   |  0.428571428571 |  0.3   |
|  8   |  NON-REL   |      0.375      |  0.3   |
|  9   |  NON-REL   |  0.333333333333 |  0.3   |
|  10  |  NON-REL   |       0.3       |  0.3   |
|  11  |    REL     |  0.363636363636 |  0.4   |
|  12  |  NON-REL   |  0.333333333333 |  0.4   |
|  13  |  NON-REL   |  0.307692307692 |  0.4   |
|  14  |  NON-REL   |  0.285714285714 |  0.4   |
|  15  |  NON-REL   |  0.266666666667 |  0.4   |
|  16  |  NON-REL   |       0.25      |  0.4   |
|  17  |  NON-REL   |  0.235294117647 |  0.4   |
|  18  |  NON-REL   |  0.222222222222 |  0.4   |
|  19  |  NON-REL   |  0.210526315789 |  0.4   |
|  20  |  NON-REL   |       0.2       |  0.4   |
|  21  |  NON-REL   |  0.190476190476 |  0.4   |
|  22  |  NON-REL   |  0.181818181818 |  0.4   |
|  23  |  NON-REL   |  0.173913043478 |  0.4   |
|  24  |  NON-REL   |  0.166666666667 |  0.4   |
|  25  |  NON-REL   |       0.16      |  0.4   |
|  26  |  NON-REL   |  0.153846153846 |  0.4   |
|  27  |  NON-REL   |  0.148148148148 |  0.4   |
|  28  |  NON-REL   |  0.142857142857 |  0.4   |
|  29  |  NON-REL   |  0.137931034483 |  0.4   |
|  30  |  NON-REL   |  0.133333333333 |  0.4   |
|  31  |  NON-REL   |  0.129032258065 |  0.4   |
|  32  |    REL     |     0.15625     |  0.5   |
|  33  |  NON-REL   |  0.151515151515 |  0.5   |
|  34  |  NON-REL   |  0.147058823529 |  0.5   |
|  35  |  NON-REL   |  0.142857142857 |  0.5   |
|  36  |  NON-REL   |  0.138888888889 |  0.5   |
|  37  |  NON-REL   |  0.135135135135 |  0.5   |
|  38  |  NON-REL   |  0.131578947368 |  0.5   |
|  39  |  NON-REL   |  0.128205128205 |  0.5   |
|  40  |  NON-REL   |      0.125      |  0.5   |
|  41  |  NON-REL   |  0.121951219512 |  0.5   |
|  42  |  NON-REL   |  0.119047619048 |  0.5   |
|  43  |  NON-REL   |  0.116279069767 |  0.5   |
|  44  |  NON-REL   |  0.113636363636 |  0.5   |
|  45  |  NON-REL   |  0.111111111111 |  0.5   |
|  46  |  NON-REL   |  0.108695652174 |  0.5   |
|  47  |  NON-REL   |  0.106382978723 |  0.5   |
|  48  |  NON-REL   |  0.104166666667 |  0.5   |
|  49  |  NON-REL   |  0.102040816327 |  0.5   |
|  50  |  NON-REL   |       0.1       |  0.5   |
|  51  |  NON-REL   | 0.0980392156863 |  0.5   |
|  52  |  NON-REL   | 0.0961538461538 |  0.5   |
|  53  |  NON-REL   | 0.0943396226415 |  0.5   |
|  54  |  NON-REL   | 0.0925925925926 |  0.5   |
|  55  |  NON-REL   | 0.0909090909091 |  0.5   |
|  56  |  NON-REL   | 0.0892857142857 |  0.5   |
|  57  |  NON-REL   | 0.0877192982456 |  0.5   |
|  58  |  NON-REL   | 0.0862068965517 |  0.5   |
|  59  |  NON-REL   | 0.0847457627119 |  0.5   |
|  60  |  NON-REL   | 0.0833333333333 |  0.5   |
|  61  |  NON-REL   | 0.0819672131148 |  0.5   |
|  62  |  NON-REL   | 0.0806451612903 |  0.5   |
|  63  |  NON-REL   | 0.0793650793651 |  0.5   |
|  64  |  NON-REL   |     0.078125    |  0.5   |
|  65  |  NON-REL   | 0.0769230769231 |  0.5   |
|  66  |  NON-REL   | 0.0757575757576 |  0.5   |
|  67  |  NON-REL   | 0.0746268656716 |  0.5   |
