query_44: xture analysis computer digitized texture analysis texture synthesis perception texture
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |  NON-REL   |       0.0       |       0.0       |
|  5   |  NON-REL   |       0.0       |       0.0       |
|  6   |  NON-REL   |       0.0       |       0.0       |
|  7   |  NON-REL   |       0.0       |       0.0       |
|  8   |  NON-REL   |       0.0       |       0.0       |
|  9   |  NON-REL   |       0.0       |       0.0       |
|  10  |  NON-REL   |       0.0       |       0.0       |
|  11  |  NON-REL   |       0.0       |       0.0       |
|  12  |  NON-REL   |       0.0       |       0.0       |
|  13  |  NON-REL   |       0.0       |       0.0       |
|  14  |  NON-REL   |       0.0       |       0.0       |
|  15  |  NON-REL   |       0.0       |       0.0       |
|  16  |  NON-REL   |       0.0       |       0.0       |
|  17  |  NON-REL   |       0.0       |       0.0       |
|  18  |  NON-REL   |       0.0       |       0.0       |
|  19  |  NON-REL   |       0.0       |       0.0       |
|  20  |  NON-REL   |       0.0       |       0.0       |
|  21  |  NON-REL   |       0.0       |       0.0       |
|  22  |  NON-REL   |       0.0       |       0.0       |
|  23  |  NON-REL   |       0.0       |       0.0       |
|  24  |  NON-REL   |       0.0       |       0.0       |
|  25  |    REL     |       0.04      | 0.0588235294118 |
|  26  |  NON-REL   | 0.0384615384615 | 0.0588235294118 |
|  27  |  NON-REL   |  0.037037037037 | 0.0588235294118 |
|  28  |  NON-REL   | 0.0357142857143 | 0.0588235294118 |
|  29  |  NON-REL   | 0.0344827586207 | 0.0588235294118 |
|  30  |  NON-REL   | 0.0333333333333 | 0.0588235294118 |
|  31  |  NON-REL   | 0.0322580645161 | 0.0588235294118 |
|  32  |  NON-REL   |     0.03125     | 0.0588235294118 |
|  33  |  NON-REL   |  0.030303030303 | 0.0588235294118 |
|  34  |  NON-REL   | 0.0294117647059 | 0.0588235294118 |
|  35  |  NON-REL   | 0.0285714285714 | 0.0588235294118 |
|  36  |  NON-REL   | 0.0277777777778 | 0.0588235294118 |
|  37  |  NON-REL   |  0.027027027027 | 0.0588235294118 |
|  38  |  NON-REL   | 0.0263157894737 | 0.0588235294118 |
|  39  |  NON-REL   |  0.025641025641 | 0.0588235294118 |
|  40  |    REL     |       0.05      |  0.117647058824 |
|  41  |  NON-REL   | 0.0487804878049 |  0.117647058824 |
|  42  |  NON-REL   |  0.047619047619 |  0.117647058824 |
|  43  |  NON-REL   |  0.046511627907 |  0.117647058824 |
|  44  |  NON-REL   | 0.0454545454545 |  0.117647058824 |
|  45  |  NON-REL   | 0.0444444444444 |  0.117647058824 |
|  46  |  NON-REL   | 0.0434782608696 |  0.117647058824 |
|  47  |  NON-REL   | 0.0425531914894 |  0.117647058824 |
|  48  |  NON-REL   | 0.0416666666667 |  0.117647058824 |
|  49  |  NON-REL   | 0.0408163265306 |  0.117647058824 |
|  50  |  NON-REL   |       0.04      |  0.117647058824 |
|  51  |  NON-REL   | 0.0392156862745 |  0.117647058824 |
|  52  |  NON-REL   | 0.0384615384615 |  0.117647058824 |
|  53  |  NON-REL   | 0.0377358490566 |  0.117647058824 |
|  54  |  NON-REL   |  0.037037037037 |  0.117647058824 |
|  55  |  NON-REL   | 0.0363636363636 |  0.117647058824 |
|  56  |  NON-REL   | 0.0357142857143 |  0.117647058824 |
|  57  |  NON-REL   | 0.0350877192982 |  0.117647058824 |
|  58  |  NON-REL   | 0.0344827586207 |  0.117647058824 |
|  59  |  NON-REL   | 0.0338983050847 |  0.117647058824 |
|  60  |  NON-REL   | 0.0333333333333 |  0.117647058824 |
|  61  |  NON-REL   | 0.0327868852459 |  0.117647058824 |
|  62  |  NON-REL   | 0.0322580645161 |  0.117647058824 |
|  63  |  NON-REL   |  0.031746031746 |  0.117647058824 |
|  64  |  NON-REL   |     0.03125     |  0.117647058824 |
|  65  |  NON-REL   | 0.0307692307692 |  0.117647058824 |
|  66  |  NON-REL   |  0.030303030303 |  0.117647058824 |
|  67  |  NON-REL   | 0.0298507462687 |  0.117647058824 |
|  68  |  NON-REL   | 0.0294117647059 |  0.117647058824 |
|  69  |  NON-REL   | 0.0289855072464 |  0.117647058824 |
|  70  |  NON-REL   | 0.0285714285714 |  0.117647058824 |
|  71  |  NON-REL   | 0.0281690140845 |  0.117647058824 |
|  72  |  NON-REL   | 0.0277777777778 |  0.117647058824 |
|  73  |  NON-REL   |  0.027397260274 |  0.117647058824 |
|  74  |  NON-REL   |  0.027027027027 |  0.117647058824 |
|  75  |  NON-REL   | 0.0266666666667 |  0.117647058824 |
|  76  |  NON-REL   | 0.0263157894737 |  0.117647058824 |
|  77  |  NON-REL   |  0.025974025974 |  0.117647058824 |
|  78  |  NON-REL   |  0.025641025641 |  0.117647058824 |
|  79  |  NON-REL   | 0.0253164556962 |  0.117647058824 |
|  80  |  NON-REL   |      0.025      |  0.117647058824 |
|  81  |  NON-REL   | 0.0246913580247 |  0.117647058824 |
|  82  |  NON-REL   | 0.0243902439024 |  0.117647058824 |
|  83  |  NON-REL   | 0.0240963855422 |  0.117647058824 |
|  84  |  NON-REL   | 0.0238095238095 |  0.117647058824 |
|  85  |  NON-REL   | 0.0235294117647 |  0.117647058824 |
|  86  |  NON-REL   | 0.0232558139535 |  0.117647058824 |
|  87  |  NON-REL   | 0.0229885057471 |  0.117647058824 |
|  88  |  NON-REL   | 0.0227272727273 |  0.117647058824 |
|  89  |  NON-REL   | 0.0224719101124 |  0.117647058824 |
|  90  |  NON-REL   | 0.0222222222222 |  0.117647058824 |
|  91  |  NON-REL   |  0.021978021978 |  0.117647058824 |
|  92  |  NON-REL   | 0.0217391304348 |  0.117647058824 |
|  93  |  NON-REL   | 0.0215053763441 |  0.117647058824 |
|  94  |  NON-REL   | 0.0212765957447 |  0.117647058824 |
|  95  |  NON-REL   | 0.0210526315789 |  0.117647058824 |
|  96  |  NON-REL   | 0.0208333333333 |  0.117647058824 |
|  97  |  NON-REL   |  0.020618556701 |  0.117647058824 |
|  98  |  NON-REL   | 0.0204081632653 |  0.117647058824 |
|  99  |  NON-REL   |  0.020202020202 |  0.117647058824 |
| 100  |  NON-REL   |       0.02      |  0.117647058824 |
+------+------------+-----------------+-----------------+
