query_58: gorithms statistical packages anova regression squares generalized linear models system design capabilities statistical formula interest student test wilcoxon sign tests multivariate univariate components included
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |    REL     |       0.5       | 0.0333333333333 |
|  3   |    REL     |  0.666666666667 | 0.0666666666667 |
|  4   |  NON-REL   |       0.5       | 0.0666666666667 |
|  5   |  NON-REL   |       0.4       | 0.0666666666667 |
|  6   |  NON-REL   |  0.333333333333 | 0.0666666666667 |
|  7   |  NON-REL   |  0.285714285714 | 0.0666666666667 |
|  8   |  NON-REL   |       0.25      | 0.0666666666667 |
|  9   |    REL     |  0.333333333333 |       0.1       |
|  10  |  NON-REL   |       0.3       |       0.1       |
|  11  |  NON-REL   |  0.272727272727 |       0.1       |
|  12  |  NON-REL   |       0.25      |       0.1       |
|  13  |    REL     |  0.307692307692 |  0.133333333333 |
|  14  |    REL     |  0.357142857143 |  0.166666666667 |
|  15  |  NON-REL   |  0.333333333333 |  0.166666666667 |
|  16  |  NON-REL   |      0.3125     |  0.166666666667 |
|  17  |  NON-REL   |  0.294117647059 |  0.166666666667 |
|  18  |  NON-REL   |  0.277777777778 |  0.166666666667 |
|  19  |  NON-REL   |  0.263157894737 |  0.166666666667 |
|  20  |  NON-REL   |       0.25      |  0.166666666667 |
|  21  |  NON-REL   |  0.238095238095 |  0.166666666667 |
|  22  |  NON-REL   |  0.227272727273 |  0.166666666667 |
|  23  |  NON-REL   |  0.217391304348 |  0.166666666667 |
|  24  |  NON-REL   |  0.208333333333 |  0.166666666667 |
|  25  |  NON-REL   |       0.2       |  0.166666666667 |
|  26  |  NON-REL   |  0.192307692308 |  0.166666666667 |
|  27  |  NON-REL   |  0.185185185185 |  0.166666666667 |
|  28  |  NON-REL   |  0.178571428571 |  0.166666666667 |
|  29  |  NON-REL   |  0.172413793103 |  0.166666666667 |
|  30  |  NON-REL   |  0.166666666667 |  0.166666666667 |
|  31  |  NON-REL   |  0.161290322581 |  0.166666666667 |
|  32  |  NON-REL   |     0.15625     |  0.166666666667 |
|  33  |  NON-REL   |  0.151515151515 |  0.166666666667 |
|  34  |  NON-REL   |  0.147058823529 |  0.166666666667 |
|  35  |  NON-REL   |  0.142857142857 |  0.166666666667 |
|  36  |  NON-REL   |  0.138888888889 |  0.166666666667 |
|  37  |  NON-REL   |  0.135135135135 |  0.166666666667 |
|  38  |  NON-REL   |  0.131578947368 |  0.166666666667 |
|  39  |  NON-REL   |  0.128205128205 |  0.166666666667 |
|  40  |  NON-REL   |      0.125      |  0.166666666667 |
|  41  |  NON-REL   |  0.121951219512 |  0.166666666667 |
|  42  |  NON-REL   |  0.119047619048 |  0.166666666667 |
|  43  |  NON-REL   |  0.116279069767 |  0.166666666667 |
|  44  |  NON-REL   |  0.113636363636 |  0.166666666667 |
|  45  |  NON-REL   |  0.111111111111 |  0.166666666667 |
|  46  |  NON-REL   |  0.108695652174 |  0.166666666667 |
|  47  |  NON-REL   |  0.106382978723 |  0.166666666667 |
|  48  |  NON-REL   |  0.104166666667 |  0.166666666667 |
|  49  |  NON-REL   |  0.102040816327 |  0.166666666667 |
|  50  |  NON-REL   |       0.1       |  0.166666666667 |
|  51  |  NON-REL   | 0.0980392156863 |  0.166666666667 |
|  52  |  NON-REL   | 0.0961538461538 |  0.166666666667 |
|  53  |    REL     |  0.11320754717  |       0.2       |
|  54  |  NON-REL   |  0.111111111111 |       0.2       |
|  55  |  NON-REL   |  0.109090909091 |       0.2       |
|  56  |  NON-REL   |  0.107142857143 |       0.2       |
|  57  |  NON-REL   |  0.105263157895 |       0.2       |
|  58  |  NON-REL   |  0.103448275862 |       0.2       |
|  59  |  NON-REL   |  0.101694915254 |       0.2       |
|  60  |  NON-REL   |       0.1       |       0.2       |
|  61  |  NON-REL   | 0.0983606557377 |       0.2       |
|  62  |  NON-REL   | 0.0967741935484 |       0.2       |
|  63  |  NON-REL   | 0.0952380952381 |       0.2       |
|  64  |  NON-REL   |     0.09375     |       0.2       |
|  65  |  NON-REL   | 0.0923076923077 |       0.2       |
|  66  |  NON-REL   | 0.0909090909091 |       0.2       |
|  67  |  NON-REL   |  0.089552238806 |       0.2       |
|  68  |  NON-REL   | 0.0882352941176 |       0.2       |
|  69  |  NON-REL   | 0.0869565217391 |       0.2       |
|  70  |  NON-REL   | 0.0857142857143 |       0.2       |
|  71  |  NON-REL   | 0.0845070422535 |       0.2       |
|  72  |  NON-REL   | 0.0833333333333 |       0.2       |
|  73  |  NON-REL   | 0.0821917808219 |       0.2       |
|  74  |  NON-REL   | 0.0810810810811 |       0.2       |
|  75  |  NON-REL   |       0.08      |       0.2       |
|  76  |  NON-REL   | 0.0789473684211 |       0.2       |
|  77  |    REL     | 0.0909090909091 |  0.233333333333 |
|  78  |  NON-REL   | 0.0897435897436 |  0.233333333333 |
|  79  |  NON-REL   | 0.0886075949367 |  0.233333333333 |
|  80  |  NON-REL   |      0.0875     |  0.233333333333 |
|  81  |  NON-REL   | 0.0864197530864 |  0.233333333333 |
|  82  |  NON-REL   | 0.0853658536585 |  0.233333333333 |
|  83  |  NON-REL   | 0.0843373493976 |  0.233333333333 |
|  84  |  NON-REL   | 0.0833333333333 |  0.233333333333 |
|  85  |  NON-REL   | 0.0823529411765 |  0.233333333333 |
|  86  |  NON-REL   | 0.0813953488372 |  0.233333333333 |
|  87  |  NON-REL   | 0.0804597701149 |  0.233333333333 |
|  88  |  NON-REL   | 0.0795454545455 |  0.233333333333 |
|  89  |  NON-REL   | 0.0786516853933 |  0.233333333333 |
|  90  |  NON-REL   | 0.0777777777778 |  0.233333333333 |
|  91  |  NON-REL   | 0.0769230769231 |  0.233333333333 |
|  92  |  NON-REL   | 0.0760869565217 |  0.233333333333 |
|  93  |  NON-REL   | 0.0752688172043 |  0.233333333333 |
|  94  |  NON-REL   | 0.0744680851064 |  0.233333333333 |
|  95  |  NON-REL   | 0.0736842105263 |  0.233333333333 |
|  96  |  NON-REL   | 0.0729166666667 |  0.233333333333 |
|  97  |  NON-REL   | 0.0721649484536 |  0.233333333333 |
|  98  |  NON-REL   | 0.0714285714286 |  0.233333333333 |
|  99  |  NON-REL   | 0.0707070707071 |  0.233333333333 |
| 100  |  NON-REL   |       0.07      |  0.233333333333 |
+------+------------+-----------------+-----------------+
