query_59: ctionary construction accessing methods fast retrieval words lexical items morphologically related information hashing indexing methods applied english spelling natural language problems
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |    REL     |      0.5       | 0.0232558139535 |
|  3   |  NON-REL   | 0.333333333333 | 0.0232558139535 |
|  4   |  NON-REL   |      0.25      | 0.0232558139535 |
|  5   |    REL     |      0.4       |  0.046511627907 |
|  6   |  NON-REL   | 0.333333333333 |  0.046511627907 |
|  7   |    REL     | 0.428571428571 | 0.0697674418605 |
|  8   |  NON-REL   |     0.375      | 0.0697674418605 |
|  9   |  NON-REL   | 0.333333333333 | 0.0697674418605 |
|  10  |  NON-REL   |      0.3       | 0.0697674418605 |
|  11  |  NON-REL   | 0.272727272727 | 0.0697674418605 |
|  12  |  NON-REL   |      0.25      | 0.0697674418605 |
|  13  |    REL     | 0.307692307692 |  0.093023255814 |
|  14  |  NON-REL   | 0.285714285714 |  0.093023255814 |
|  15  |    REL     | 0.333333333333 |  0.116279069767 |
|  16  |  NON-REL   |     0.3125     |  0.116279069767 |
|  17  |  NON-REL   | 0.294117647059 |  0.116279069767 |
|  18  |  NON-REL   | 0.277777777778 |  0.116279069767 |
|  19  |  NON-REL   | 0.263157894737 |  0.116279069767 |
|  20  |  NON-REL   |      0.25      |  0.116279069767 |
|  21  |  NON-REL   | 0.238095238095 |  0.116279069767 |
|  22  |  NON-REL   | 0.227272727273 |  0.116279069767 |
|  23  |  NON-REL   | 0.217391304348 |  0.116279069767 |
|  24  |  NON-REL   | 0.208333333333 |  0.116279069767 |
|  25  |  NON-REL   |      0.2       |  0.116279069767 |
|  26  |  NON-REL   | 0.192307692308 |  0.116279069767 |
|  27  |  NON-REL   | 0.185185185185 |  0.116279069767 |
|  28  |    REL     | 0.214285714286 |  0.139534883721 |
|  29  |  NON-REL   | 0.206896551724 |  0.139534883721 |
|  30  |  NON-REL   |      0.2       |  0.139534883721 |
|  31  |  NON-REL   | 0.193548387097 |  0.139534883721 |
|  32  |    REL     |    0.21875     |  0.162790697674 |
|  33  |  NON-REL   | 0.212121212121 |  0.162790697674 |
|  34  |    REL     | 0.235294117647 |  0.186046511628 |
|  35  |  NON-REL   | 0.228571428571 |  0.186046511628 |
|  36  |  NON-REL   | 0.222222222222 |  0.186046511628 |
|  37  |  NON-REL   | 0.216216216216 |  0.186046511628 |
|  38  |  NON-REL   | 0.210526315789 |  0.186046511628 |
|  39  |  NON-REL   | 0.205128205128 |  0.186046511628 |
|  40  |  NON-REL   |      0.2       |  0.186046511628 |
|  41  |  NON-REL   | 0.19512195122  |  0.186046511628 |
|  42  |  NON-REL   | 0.190476190476 |  0.186046511628 |
|  43  |    REL     | 0.209302325581 |  0.209302325581 |
|  44  |  NON-REL   | 0.204545454545 |  0.209302325581 |
|  45  |  NON-REL   |      0.2       |  0.209302325581 |
|  46  |  NON-REL   | 0.195652173913 |  0.209302325581 |
|  47  |  NON-REL   | 0.191489361702 |  0.209302325581 |
|  48  |  NON-REL   |     0.1875     |  0.209302325581 |
|  49  |  NON-REL   | 0.183673469388 |  0.209302325581 |
|  50  |  NON-REL   |      0.18      |  0.209302325581 |
|  51  |  NON-REL   | 0.176470588235 |  0.209302325581 |
|  52  |  NON-REL   | 0.173076923077 |  0.209302325581 |
|  53  |  NON-REL   | 0.169811320755 |  0.209302325581 |
|  54  |    REL     | 0.185185185185 |  0.232558139535 |
|  55  |  NON-REL   | 0.181818181818 |  0.232558139535 |
|  56  |  NON-REL   | 0.178571428571 |  0.232558139535 |
|  57  |  NON-REL   | 0.175438596491 |  0.232558139535 |
|  58  |  NON-REL   | 0.172413793103 |  0.232558139535 |
|  59  |  NON-REL   | 0.169491525424 |  0.232558139535 |
|  60  |  NON-REL   | 0.166666666667 |  0.232558139535 |
|  61  |  NON-REL   | 0.16393442623  |  0.232558139535 |
|  62  |  NON-REL   | 0.161290322581 |  0.232558139535 |
|  63  |  NON-REL   | 0.15873015873  |  0.232558139535 |
|  64  |  NON-REL   |    0.15625     |  0.232558139535 |
|  65  |  NON-REL   | 0.153846153846 |  0.232558139535 |
|  66  |  NON-REL   | 0.151515151515 |  0.232558139535 |
|  67  |    REL     | 0.164179104478 |  0.255813953488 |
|  68  |    REL     | 0.176470588235 |  0.279069767442 |
|  69  |  NON-REL   | 0.173913043478 |  0.279069767442 |
|  70  |  NON-REL   | 0.171428571429 |  0.279069767442 |
|  71  |  NON-REL   | 0.169014084507 |  0.279069767442 |
|  72  |    REL     | 0.180555555556 |  0.302325581395 |
|  73  |  NON-REL   | 0.178082191781 |  0.302325581395 |
|  74  |    REL     | 0.189189189189 |  0.325581395349 |
|  75  |  NON-REL   | 0.186666666667 |  0.325581395349 |
|  76  |  NON-REL   | 0.184210526316 |  0.325581395349 |
|  77  |    REL     | 0.194805194805 |  0.348837209302 |
|  78  |  NON-REL   | 0.192307692308 |  0.348837209302 |
|  79  |  NON-REL   | 0.189873417722 |  0.348837209302 |
|  80  |  NON-REL   |     0.1875     |  0.348837209302 |
|  81  |  NON-REL   | 0.185185185185 |  0.348837209302 |
|  82  |  NON-REL   | 0.182926829268 |  0.348837209302 |
|  83  |  NON-REL   | 0.180722891566 |  0.348837209302 |
|  84  |    REL     | 0.190476190476 |  0.372093023256 |
|  85  |  NON-REL   | 0.188235294118 |  0.372093023256 |
|  86  |  NON-REL   | 0.186046511628 |  0.372093023256 |
|  87  |    REL     | 0.195402298851 |  0.395348837209 |
|  88  |  NON-REL   | 0.193181818182 |  0.395348837209 |
|  89  |  NON-REL   | 0.191011235955 |  0.395348837209 |
|  90  |  NON-REL   | 0.188888888889 |  0.395348837209 |
|  91  |  NON-REL   | 0.186813186813 |  0.395348837209 |
|  92  |  NON-REL   | 0.184782608696 |  0.395348837209 |
|  93  |  NON-REL   | 0.182795698925 |  0.395348837209 |
|  94  |  NON-REL   | 0.18085106383  |  0.395348837209 |
|  95  |    REL     | 0.189473684211 |  0.418604651163 |
|  96  |  NON-REL   |     0.1875     |  0.418604651163 |
|  97  |  NON-REL   | 0.185567010309 |  0.418604651163 |
|  98  |  NON-REL   | 0.183673469388 |  0.418604651163 |
|  99  |  NON-REL   | 0.181818181818 |  0.418604651163 |
| 100  |  NON-REL   |      0.18      |  0.418604651163 |
+------+------------+----------------+-----------------+
