query_60: rdware software relating database management systems database packages back end computers special associative hardware microcomputers attached disk heads things rap relational network codasyl hierarchical models systems system ims adabas total
+------+------------+-----------------+-----------------+
| RANK | REL/NONREL |    PRECISION    |      RECALL     |
+------+------------+-----------------+-----------------+
|  1   |  NON-REL   |       0.0       |       0.0       |
|  2   |  NON-REL   |       0.0       |       0.0       |
|  3   |  NON-REL   |       0.0       |       0.0       |
|  4   |    REL     |       0.25      |  0.037037037037 |
|  5   |  NON-REL   |       0.2       |  0.037037037037 |
|  6   |  NON-REL   |  0.166666666667 |  0.037037037037 |
|  7   |    REL     |  0.285714285714 | 0.0740740740741 |
|  8   |  NON-REL   |       0.25      | 0.0740740740741 |
|  9   |  NON-REL   |  0.222222222222 | 0.0740740740741 |
|  10  |  NON-REL   |       0.2       | 0.0740740740741 |
|  11  |  NON-REL   |  0.181818181818 | 0.0740740740741 |
|  12  |  NON-REL   |  0.166666666667 | 0.0740740740741 |
|  13  |  NON-REL   |  0.153846153846 | 0.0740740740741 |
|  14  |  NON-REL   |  0.142857142857 | 0.0740740740741 |
|  15  |  NON-REL   |  0.133333333333 | 0.0740740740741 |
|  16  |  NON-REL   |      0.125      | 0.0740740740741 |
|  17  |  NON-REL   |  0.117647058824 | 0.0740740740741 |
|  18  |  NON-REL   |  0.111111111111 | 0.0740740740741 |
|  19  |  NON-REL   |  0.105263157895 | 0.0740740740741 |
|  20  |    REL     |       0.15      |  0.111111111111 |
|  21  |  NON-REL   |  0.142857142857 |  0.111111111111 |
|  22  |  NON-REL   |  0.136363636364 |  0.111111111111 |
|  23  |    REL     |  0.173913043478 |  0.148148148148 |
|  24  |  NON-REL   |  0.166666666667 |  0.148148148148 |
|  25  |  NON-REL   |       0.16      |  0.148148148148 |
|  26  |  NON-REL   |  0.153846153846 |  0.148148148148 |
|  27  |    REL     |  0.185185185185 |  0.185185185185 |
|  28  |  NON-REL   |  0.178571428571 |  0.185185185185 |
|  29  |  NON-REL   |  0.172413793103 |  0.185185185185 |
|  30  |  NON-REL   |  0.166666666667 |  0.185185185185 |
|  31  |  NON-REL   |  0.161290322581 |  0.185185185185 |
|  32  |  NON-REL   |     0.15625     |  0.185185185185 |
|  33  |  NON-REL   |  0.151515151515 |  0.185185185185 |
|  34  |  NON-REL   |  0.147058823529 |  0.185185185185 |
|  35  |  NON-REL   |  0.142857142857 |  0.185185185185 |
|  36  |  NON-REL   |  0.138888888889 |  0.185185185185 |
|  37  |  NON-REL   |  0.135135135135 |  0.185185185185 |
|  38  |  NON-REL   |  0.131578947368 |  0.185185185185 |
|  39  |  NON-REL   |  0.128205128205 |  0.185185185185 |
|  40  |  NON-REL   |      0.125      |  0.185185185185 |
|  41  |  NON-REL   |  0.121951219512 |  0.185185185185 |
|  42  |  NON-REL   |  0.119047619048 |  0.185185185185 |
|  43  |    REL     |  0.139534883721 |  0.222222222222 |
|  44  |    REL     |  0.159090909091 |  0.259259259259 |
|  45  |  NON-REL   |  0.155555555556 |  0.259259259259 |
|  46  |  NON-REL   |  0.152173913043 |  0.259259259259 |
|  47  |  NON-REL   |  0.148936170213 |  0.259259259259 |
|  48  |  NON-REL   |  0.145833333333 |  0.259259259259 |
|  49  |  NON-REL   |  0.142857142857 |  0.259259259259 |
|  50  |  NON-REL   |       0.14      |  0.259259259259 |
|  51  |  NON-REL   |  0.137254901961 |  0.259259259259 |
|  52  |  NON-REL   |  0.134615384615 |  0.259259259259 |
|  53  |  NON-REL   |  0.132075471698 |  0.259259259259 |
|  54  |  NON-REL   |  0.12962962963  |  0.259259259259 |
|  55  |  NON-REL   |  0.127272727273 |  0.259259259259 |
|  56  |  NON-REL   |      0.125      |  0.259259259259 |
|  57  |  NON-REL   |  0.122807017544 |  0.259259259259 |
|  58  |    REL     |  0.137931034483 |  0.296296296296 |
|  59  |  NON-REL   |  0.135593220339 |  0.296296296296 |
|  60  |  NON-REL   |  0.133333333333 |  0.296296296296 |
|  61  |  NON-REL   |  0.131147540984 |  0.296296296296 |
|  62  |  NON-REL   |  0.129032258065 |  0.296296296296 |
|  63  |  NON-REL   |  0.126984126984 |  0.296296296296 |
|  64  |  NON-REL   |      0.125      |  0.296296296296 |
|  65  |  NON-REL   |  0.123076923077 |  0.296296296296 |
|  66  |  NON-REL   |  0.121212121212 |  0.296296296296 |
|  67  |  NON-REL   |  0.119402985075 |  0.296296296296 |
|  68  |  NON-REL   |  0.117647058824 |  0.296296296296 |
|  69  |  NON-REL   |  0.115942028986 |  0.296296296296 |
|  70  |  NON-REL   |  0.114285714286 |  0.296296296296 |
|  71  |  NON-REL   |  0.112676056338 |  0.296296296296 |
|  72  |  NON-REL   |  0.111111111111 |  0.296296296296 |
|  73  |  NON-REL   |  0.109589041096 |  0.296296296296 |
|  74  |  NON-REL   |  0.108108108108 |  0.296296296296 |
|  75  |  NON-REL   |  0.106666666667 |  0.296296296296 |
|  76  |  NON-REL   |  0.105263157895 |  0.296296296296 |
|  77  |  NON-REL   |  0.103896103896 |  0.296296296296 |
|  78  |  NON-REL   |  0.102564102564 |  0.296296296296 |
|  79  |  NON-REL   |  0.101265822785 |  0.296296296296 |
|  80  |  NON-REL   |       0.1       |  0.296296296296 |
|  81  |  NON-REL   | 0.0987654320988 |  0.296296296296 |
|  82  |    REL     |  0.109756097561 |  0.333333333333 |
|  83  |  NON-REL   |  0.10843373494  |  0.333333333333 |
|  84  |  NON-REL   |  0.107142857143 |  0.333333333333 |
|  85  |  NON-REL   |  0.105882352941 |  0.333333333333 |
|  86  |  NON-REL   |  0.104651162791 |  0.333333333333 |
|  87  |  NON-REL   |  0.103448275862 |  0.333333333333 |
|  88  |  NON-REL   |  0.102272727273 |  0.333333333333 |
|  89  |  NON-REL   |  0.101123595506 |  0.333333333333 |
|  90  |  NON-REL   |       0.1       |  0.333333333333 |
|  91  |  NON-REL   | 0.0989010989011 |  0.333333333333 |
|  92  |  NON-REL   | 0.0978260869565 |  0.333333333333 |
|  93  |  NON-REL   | 0.0967741935484 |  0.333333333333 |
|  94  |  NON-REL   | 0.0957446808511 |  0.333333333333 |
|  95  |  NON-REL   | 0.0947368421053 |  0.333333333333 |
|  96  |    REL     |  0.104166666667 |  0.37037037037  |
|  97  |  NON-REL   |  0.103092783505 |  0.37037037037  |
|  98  |  NON-REL   |  0.102040816327 |  0.37037037037  |
|  99  |  NON-REL   |  0.10101010101  |  0.37037037037  |
| 100  |  NON-REL   |       0.1       |  0.37037037037  |
+------+------------+-----------------+-----------------+
