query_61: formation retrieval articles gerard salton clustering bibliographic coupling citations co-citations vector space model boolean search methods inverted feedback salton
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |  NON-REL   |      0.0       |       0.0       |
|  2   |    REL     |      0.5       | 0.0322580645161 |
|  3   |  NON-REL   | 0.333333333333 | 0.0322580645161 |
|  4   |  NON-REL   |      0.25      | 0.0322580645161 |
|  5   |  NON-REL   |      0.2       | 0.0322580645161 |
|  6   |    REL     | 0.333333333333 | 0.0645161290323 |
|  7   |    REL     | 0.428571428571 | 0.0967741935484 |
|  8   |  NON-REL   |     0.375      | 0.0967741935484 |
|  9   |    REL     | 0.444444444444 |  0.129032258065 |
|  10  |  NON-REL   |      0.4       |  0.129032258065 |
|  11  |    REL     | 0.454545454545 |  0.161290322581 |
|  12  |  NON-REL   | 0.416666666667 |  0.161290322581 |
|  13  |  NON-REL   | 0.384615384615 |  0.161290322581 |
|  14  |    REL     | 0.428571428571 |  0.193548387097 |
|  15  |    REL     | 0.466666666667 |  0.225806451613 |
|  16  |  NON-REL   |     0.4375     |  0.225806451613 |
|  17  |  NON-REL   | 0.411764705882 |  0.225806451613 |
|  18  |  NON-REL   | 0.388888888889 |  0.225806451613 |
|  19  |  NON-REL   | 0.368421052632 |  0.225806451613 |
|  20  |  NON-REL   |      0.35      |  0.225806451613 |
|  21  |  NON-REL   | 0.333333333333 |  0.225806451613 |
|  22  |  NON-REL   | 0.318181818182 |  0.225806451613 |
|  23  |  NON-REL   | 0.304347826087 |  0.225806451613 |
|  24  |  NON-REL   | 0.291666666667 |  0.225806451613 |
|  25  |  NON-REL   |      0.28      |  0.225806451613 |
|  26  |  NON-REL   | 0.269230769231 |  0.225806451613 |
|  27  |  NON-REL   | 0.259259259259 |  0.225806451613 |
|  28  |    REL     | 0.285714285714 |  0.258064516129 |
|  29  |  NON-REL   | 0.275862068966 |  0.258064516129 |
|  30  |  NON-REL   | 0.266666666667 |  0.258064516129 |
|  31  |  NON-REL   | 0.258064516129 |  0.258064516129 |
|  32  |    REL     |    0.28125     |  0.290322580645 |
|  33  |  NON-REL   | 0.272727272727 |  0.290322580645 |
|  34  |    REL     | 0.294117647059 |  0.322580645161 |
|  35  |  NON-REL   | 0.285714285714 |  0.322580645161 |
|  36  |  NON-REL   | 0.277777777778 |  0.322580645161 |
|  37  |  NON-REL   | 0.27027027027  |  0.322580645161 |
|  38  |  NON-REL   | 0.263157894737 |  0.322580645161 |
|  39  |    REL     | 0.282051282051 |  0.354838709677 |
|  40  |  NON-REL   |     0.275      |  0.354838709677 |
|  41  |    REL     | 0.292682926829 |  0.387096774194 |
|  42  |  NON-REL   | 0.285714285714 |  0.387096774194 |
|  43  |  NON-REL   | 0.279069767442 |  0.387096774194 |
|  44  |  NON-REL   | 0.272727272727 |  0.387096774194 |
|  45  |  NON-REL   | 0.266666666667 |  0.387096774194 |
|  46  |  NON-REL   | 0.260869565217 |  0.387096774194 |
|  47  |  NON-REL   | 0.255319148936 |  0.387096774194 |
|  48  |    REL     | 0.270833333333 |  0.41935483871  |
|  49  |  NON-REL   | 0.265306122449 |  0.41935483871  |
|  50  |  NON-REL   |      0.26      |  0.41935483871  |
|  51  |  NON-REL   | 0.254901960784 |  0.41935483871  |
|  52  |  NON-REL   |      0.25      |  0.41935483871  |
|  53  |  NON-REL   | 0.245283018868 |  0.41935483871  |
|  54  |  NON-REL   | 0.240740740741 |  0.41935483871  |
|  55  |  NON-REL   | 0.236363636364 |  0.41935483871  |
|  56  |  NON-REL   | 0.232142857143 |  0.41935483871  |
|  57  |  NON-REL   | 0.228070175439 |  0.41935483871  |
|  58  |  NON-REL   | 0.224137931034 |  0.41935483871  |
|  59  |  NON-REL   | 0.220338983051 |  0.41935483871  |
|  60  |  NON-REL   | 0.216666666667 |  0.41935483871  |
|  61  |  NON-REL   | 0.213114754098 |  0.41935483871  |
|  62  |  NON-REL   | 0.209677419355 |  0.41935483871  |
|  63  |  NON-REL   | 0.206349206349 |  0.41935483871  |
|  64  |  NON-REL   |    0.203125    |  0.41935483871  |
|  65  |  NON-REL   |      0.2       |  0.41935483871  |
|  66  |  NON-REL   | 0.19696969697  |  0.41935483871  |
|  67  |  NON-REL   | 0.194029850746 |  0.41935483871  |
|  68  |  NON-REL   | 0.191176470588 |  0.41935483871  |
|  69  |  NON-REL   | 0.188405797101 |  0.41935483871  |
|  70  |  NON-REL   | 0.185714285714 |  0.41935483871  |
|  71  |  NON-REL   | 0.183098591549 |  0.41935483871  |
|  72  |    REL     | 0.194444444444 |  0.451612903226 |
|  73  |  NON-REL   | 0.191780821918 |  0.451612903226 |
|  74  |  NON-REL   | 0.189189189189 |  0.451612903226 |
|  75  |  NON-REL   | 0.186666666667 |  0.451612903226 |
|  76  |  NON-REL   | 0.184210526316 |  0.451612903226 |
|  77  |  NON-REL   | 0.181818181818 |  0.451612903226 |
|  78  |  NON-REL   | 0.179487179487 |  0.451612903226 |
|  79  |    REL     | 0.189873417722 |  0.483870967742 |
|  80  |  NON-REL   |     0.1875     |  0.483870967742 |
|  81  |  NON-REL   | 0.185185185185 |  0.483870967742 |
|  82  |  NON-REL   | 0.182926829268 |  0.483870967742 |
|  83  |  NON-REL   | 0.180722891566 |  0.483870967742 |
|  84  |  NON-REL   | 0.178571428571 |  0.483870967742 |
|  85  |  NON-REL   | 0.176470588235 |  0.483870967742 |
|  86  |  NON-REL   | 0.174418604651 |  0.483870967742 |
|  87  |  NON-REL   | 0.172413793103 |  0.483870967742 |
|  88  |  NON-REL   | 0.170454545455 |  0.483870967742 |
|  89  |  NON-REL   | 0.168539325843 |  0.483870967742 |
|  90  |  NON-REL   | 0.166666666667 |  0.483870967742 |
|  91  |  NON-REL   | 0.164835164835 |  0.483870967742 |
|  92  |  NON-REL   | 0.163043478261 |  0.483870967742 |
|  93  |  NON-REL   | 0.161290322581 |  0.483870967742 |
|  94  |  NON-REL   | 0.159574468085 |  0.483870967742 |
|  95  |    REL     | 0.168421052632 |  0.516129032258 |
|  96  |  NON-REL   | 0.166666666667 |  0.516129032258 |
|  97  |  NON-REL   | 0.164948453608 |  0.516129032258 |
|  98  |  NON-REL   | 0.163265306122 |  0.516129032258 |
|  99  |  NON-REL   | 0.161616161616 |  0.516129032258 |
| 100  |  NON-REL   |      0.16      |  0.516129032258 |
+------+------------+----------------+-----------------+
