query_7: terested distributed algorithms  concurrent programs processes communicate synchronize message passing areas interest include fault-tolerance techniques understanding correctness algorithms
+------+------------+----------------+-----------------+
| RANK | REL/NONREL |   PRECISION    |      RECALL     |
+------+------------+----------------+-----------------+
|  1   |    REL     |      1.0       | 0.0357142857143 |
|  2   |    REL     |      1.0       | 0.0714285714286 |
|  3   |  NON-REL   | 0.666666666667 | 0.0714285714286 |
|  4   |  NON-REL   |      0.5       | 0.0714285714286 |
|  5   |  NON-REL   |      0.4       | 0.0714285714286 |
|  6   |  NON-REL   | 0.333333333333 | 0.0714285714286 |
|  7   |    REL     | 0.428571428571 |  0.107142857143 |
|  8   |  NON-REL   |     0.375      |  0.107142857143 |
|  9   |  NON-REL   | 0.333333333333 |  0.107142857143 |
|  10  |    REL     |      0.4       |  0.142857142857 |
|  11  |    REL     | 0.454545454545 |  0.178571428571 |
|  12  |    REL     |      0.5       |  0.214285714286 |
|  13  |  NON-REL   | 0.461538461538 |  0.214285714286 |
|  14  |  NON-REL   | 0.428571428571 |  0.214285714286 |
|  15  |  NON-REL   |      0.4       |  0.214285714286 |
|  16  |    REL     |     0.4375     |       0.25      |
|  17  |    REL     | 0.470588235294 |  0.285714285714 |
|  18  |  NON-REL   | 0.444444444444 |  0.285714285714 |
|  19  |  NON-REL   | 0.421052631579 |  0.285714285714 |
|  20  |    REL     |      0.45      |  0.321428571429 |
|  21  |    REL     | 0.47619047619  |  0.357142857143 |
|  22  |    REL     |      0.5       |  0.392857142857 |
|  23  |  NON-REL   | 0.478260869565 |  0.392857142857 |
|  24  |  NON-REL   | 0.458333333333 |  0.392857142857 |
|  25  |  NON-REL   |      0.44      |  0.392857142857 |
|  26  |  NON-REL   | 0.423076923077 |  0.392857142857 |
|  27  |  NON-REL   | 0.407407407407 |  0.392857142857 |
|  28  |  NON-REL   | 0.392857142857 |  0.392857142857 |
|  29  |    REL     | 0.413793103448 |  0.428571428571 |
|  30  |  NON-REL   |      0.4       |  0.428571428571 |
|  31  |    REL     | 0.41935483871  |  0.464285714286 |
|  32  |  NON-REL   |    0.40625     |  0.464285714286 |
|  33  |  NON-REL   | 0.393939393939 |  0.464285714286 |
|  34  |  NON-REL   | 0.382352941176 |  0.464285714286 |
|  35  |  NON-REL   | 0.371428571429 |  0.464285714286 |
|  36  |  NON-REL   | 0.361111111111 |  0.464285714286 |
|  37  |  NON-REL   | 0.351351351351 |  0.464285714286 |
