query_9: curity considerations local networks network operating systems distributed systems
+------+------------+-----------------+----------------+
| RANK | REL/NONREL |    PRECISION    |     RECALL     |
+------+------------+-----------------+----------------+
|  1   |  NON-REL   |       0.0       |      0.0       |
|  2   |  NON-REL   |       0.0       |      0.0       |
|  3   |  NON-REL   |       0.0       |      0.0       |
|  4   |  NON-REL   |       0.0       |      0.0       |
|  5   |  NON-REL   |       0.0       |      0.0       |
|  6   |  NON-REL   |       0.0       |      0.0       |
|  7   |  NON-REL   |       0.0       |      0.0       |
|  8   |  NON-REL   |       0.0       |      0.0       |
|  9   |  NON-REL   |       0.0       |      0.0       |
|  10  |  NON-REL   |       0.0       |      0.0       |
|  11  |  NON-REL   |       0.0       |      0.0       |
|  12  |  NON-REL   |       0.0       |      0.0       |
|  13  |  NON-REL   |       0.0       |      0.0       |
|  14  |    REL     | 0.0714285714286 | 0.111111111111 |
|  15  |  NON-REL   | 0.0666666666667 | 0.111111111111 |
|  16  |  NON-REL   |      0.0625     | 0.111111111111 |
|  17  |  NON-REL   | 0.0588235294118 | 0.111111111111 |
|  18  |  NON-REL   | 0.0555555555556 | 0.111111111111 |
|  19  |  NON-REL   | 0.0526315789474 | 0.111111111111 |
|  20  |  NON-REL   |       0.05      | 0.111111111111 |
|  21  |  NON-REL   |  0.047619047619 | 0.111111111111 |
|  22  |  NON-REL   | 0.0454545454545 | 0.111111111111 |
|  23  |  NON-REL   | 0.0434782608696 | 0.111111111111 |
|  24  |  NON-REL   | 0.0416666666667 | 0.111111111111 |
|  25  |  NON-REL   |       0.04      | 0.111111111111 |
|  26  |  NON-REL   | 0.0384615384615 | 0.111111111111 |
|  27  |  NON-REL   |  0.037037037037 | 0.111111111111 |
|  28  |  NON-REL   | 0.0357142857143 | 0.111111111111 |
|  29  |  NON-REL   | 0.0344827586207 | 0.111111111111 |
|  30  |  NON-REL   | 0.0333333333333 | 0.111111111111 |
|  31  |  NON-REL   | 0.0322580645161 | 0.111111111111 |
|  32  |  NON-REL   |     0.03125     | 0.111111111111 |
|  33  |  NON-REL   |  0.030303030303 | 0.111111111111 |
|  34  |  NON-REL   | 0.0294117647059 | 0.111111111111 |
|  35  |  NON-REL   | 0.0285714285714 | 0.111111111111 |
|  36  |  NON-REL   | 0.0277777777778 | 0.111111111111 |
|  37  |  NON-REL   |  0.027027027027 | 0.111111111111 |
|  38  |  NON-REL   | 0.0263157894737 | 0.111111111111 |
|  39  |  NON-REL   |  0.025641025641 | 0.111111111111 |
|  40  |  NON-REL   |      0.025      | 0.111111111111 |
|  41  |  NON-REL   | 0.0243902439024 | 0.111111111111 |
|  42  |  NON-REL   | 0.0238095238095 | 0.111111111111 |
|  43  |    REL     |  0.046511627907 | 0.222222222222 |
|  44  |  NON-REL   | 0.0454545454545 | 0.222222222222 |
|  45  |  NON-REL   | 0.0444444444444 | 0.222222222222 |
|  46  |  NON-REL   | 0.0434782608696 | 0.222222222222 |
|  47  |  NON-REL   | 0.0425531914894 | 0.222222222222 |
|  48  |  NON-REL   | 0.0416666666667 | 0.222222222222 |
|  49  |  NON-REL   | 0.0408163265306 | 0.222222222222 |
|  50  |  NON-REL   |       0.04      | 0.222222222222 |
|  51  |  NON-REL   | 0.0392156862745 | 0.222222222222 |
|  52  |  NON-REL   | 0.0384615384615 | 0.222222222222 |
|  53  |  NON-REL   | 0.0377358490566 | 0.222222222222 |
|  54  |  NON-REL   |  0.037037037037 | 0.222222222222 |
|  55  |  NON-REL   | 0.0363636363636 | 0.222222222222 |
|  56  |  NON-REL   | 0.0357142857143 | 0.222222222222 |
|  57  |  NON-REL   | 0.0350877192982 | 0.222222222222 |
|  58  |  NON-REL   | 0.0344827586207 | 0.222222222222 |
|  59  |  NON-REL   | 0.0338983050847 | 0.222222222222 |
|  60  |  NON-REL   | 0.0333333333333 | 0.222222222222 |
|  61  |  NON-REL   | 0.0327868852459 | 0.222222222222 |
|  62  |  NON-REL   | 0.0322580645161 | 0.222222222222 |
|  63  |  NON-REL   |  0.031746031746 | 0.222222222222 |
|  64  |  NON-REL   |     0.03125     | 0.222222222222 |
|  65  |  NON-REL   | 0.0307692307692 | 0.222222222222 |
|  66  |  NON-REL   |  0.030303030303 | 0.222222222222 |
|  67  |  NON-REL   | 0.0298507462687 | 0.222222222222 |
|  68  |  NON-REL   | 0.0294117647059 | 0.222222222222 |
|  69  |  NON-REL   | 0.0289855072464 | 0.222222222222 |
|  70  |  NON-REL   | 0.0285714285714 | 0.222222222222 |
|  71  |  NON-REL   | 0.0281690140845 | 0.222222222222 |
|  72  |  NON-REL   | 0.0277777777778 | 0.222222222222 |
|  73  |    REL     |  0.041095890411 | 0.333333333333 |
|  74  |  NON-REL   | 0.0405405405405 | 0.333333333333 |
|  75  |  NON-REL   |       0.04      | 0.333333333333 |
|  76  |  NON-REL   | 0.0394736842105 | 0.333333333333 |
|  77  |  NON-REL   |  0.038961038961 | 0.333333333333 |
|  78  |  NON-REL   | 0.0384615384615 | 0.333333333333 |
|  79  |  NON-REL   | 0.0379746835443 | 0.333333333333 |
|  80  |  NON-REL   |      0.0375     | 0.333333333333 |
|  81  |  NON-REL   |  0.037037037037 | 0.333333333333 |
|  82  |  NON-REL   | 0.0365853658537 | 0.333333333333 |
|  83  |  NON-REL   | 0.0361445783133 | 0.333333333333 |
|  84  |  NON-REL   | 0.0357142857143 | 0.333333333333 |
|  85  |  NON-REL   | 0.0352941176471 | 0.333333333333 |
|  86  |  NON-REL   | 0.0348837209302 | 0.333333333333 |
|  87  |  NON-REL   | 0.0344827586207 | 0.333333333333 |
|  88  |  NON-REL   | 0.0340909090909 | 0.333333333333 |
|  89  |  NON-REL   | 0.0337078651685 | 0.333333333333 |
|  90  |  NON-REL   | 0.0333333333333 | 0.333333333333 |
|  91  |  NON-REL   |  0.032967032967 | 0.333333333333 |
|  92  |  NON-REL   | 0.0326086956522 | 0.333333333333 |
|  93  |  NON-REL   | 0.0322580645161 | 0.333333333333 |
|  94  |  NON-REL   |  0.031914893617 | 0.333333333333 |
|  95  |  NON-REL   | 0.0315789473684 | 0.333333333333 |
|  96  |  NON-REL   |     0.03125     | 0.333333333333 |
|  97  |  NON-REL   | 0.0309278350515 | 0.333333333333 |
|  98  |  NON-REL   |  0.030612244898 | 0.333333333333 |
|  99  |  NON-REL   |  0.030303030303 | 0.333333333333 |
| 100  |  NON-REL   |       0.03      | 0.333333333333 |
+------+------------+-----------------+----------------+
